"4-way Transitions Tables"
""
"Infancy - Toddlerhood"
""
"","B","A","C","D",""
"A.CI_L","0.000","0.000","0.000","0.000","0.000"
"A.CI_U","80.662","77.312","100.000","40.331","0.000"
"A.ExpectedCount","16.809","4.086","2.918","6.187","0.000"
"A.ExpectedPercent","56.031","13.619","9.728","20.623","0.000"
"A.PercentDeviation","-40.509","169.238","37.067","-19.182","0.000"
"A.StandardizedResidual","-1.661","3.421","0.633","-0.477","0.000"
"A.AdjStandResidual","-2.665","3.916","0.709","-0.570","0.000"
"C.Count","10.000","3.000","9.000","2.000","24.000"
"C.Percentage","43.559","12.846","35.769","7.826","0.000"
"C.SE","28.671","5.245","26.224","7.692","0.000"
"C.CI_L","0.000","0.000","0.000","0.000","0.000"
"C.CI_U","100.000","37.255","100.000","43.625","0.000"
"C.ExpectedCount","13.447","3.268","2.335","4.949","0.000"
"C.ExpectedPercent","56.031","13.619","9.728","20.623","0.000"
"C.PercentDeviation","-25.637","-8.214","285.500","-59.591","0.000"
"C.StandardizedResidual","-0.940","-0.149","4.362","-1.326","0.000"
"C.AdjStandResidual","-1.489","-0.168","4.822","-1.563","0.000"
"D.Count","23.000","8.000","4.000","28.000","63.000"
"D.Percentage","27.586","13.372","6.686","52.356","0.000"
"D.SE","17.176","1.274","0.637","15.359","0.000"
"D.CI_L","0.000","7.443","3.722","0.000","0.000"
"D.CI_U","100.000","19.301","9.651","100.000","0.000"
"D.ExpectedCount","35.300","8.580","6.128","12.992","0.000"
"D.ExpectedPercent","56.031","13.619","9.728","20.623","0.000"
"D.PercentDeviation","-34.843","-6.757","-34.730","115.514","0.000"
"D.StandardizedResidual","-2.070","-0.198","-0.860","4.164","0.000"
"D.AdjStandResidual","-3.593","-0.245","-1.042","5.379","0.000"
".CountTotal","144.000","35.000","25.000","53.000","257.000"
""
"overall"
""
"","B","A","C","D",""
"B.Count","1293.000","179.000","236.000","226.000","1934.000"
"B.Percentage","64.855","13.754","9.563","11.828","0.000"
"B.SE","3.301","2.374","2.117","1.597","0.000"
"B.CI_L","58.036","8.850","5.190","8.528","0.000"
"B.CI_U","71.675","18.658","13.937","15.128","0.000"
"B.ExpectedCount","1116.920","240.550","259.749","316.781","0.000"
"B.ExpectedPercent","57.752","12.438","13.431","16.380","0.000"
"B.PercentDeviation","15.765","-25.587","-9.143","-28.657","0.000"
"B.StandardizedResidual","5.269","-3.968","-1.474","-5.101","0.000"
"B.AdjStandResidual","12.285","-6.428","-2.400","-8.454","0.000"
"A.Count","248.000","134.000","59.000","86.000","527.000"
"A.Percentage","35.626","36.053","10.288","18.033","0.000"
"A.SE","4.402","5.147","3.070","2.627","0.000"
"A.CI_L","26.531","25.420","3.946","12.605","0.000"
"A.CI_U","44.720","46.686","16.629","23.461","0.000"
"A.ExpectedCount","304.352","65.548","70.780","86.320","0.000"
"A.ExpectedPercent","57.752","12.438","13.431","16.380","0.000"
"A.PercentDeviation","-18.515","104.430","-16.643","-0.371","0.000"
"A.StandardizedResidual","-3.230","8.455","-1.400","-0.034","0.000"
"A.AdjStandResidual","-5.403","9.823","-1.636","-0.041","0.000"
"C.Count","163.000","32.000","87.000","36.000","318.000"
"C.Percentage","44.214","10.480","26.553","18.753","0.000"
"C.SE","6.219","3.305","4.536","4.503","0.000"
"C.CI_L","31.365","3.653","17.183","9.451","0.000"
"C.CI_U","57.062","17.306","35.924","28.055","0.000"
"C.ExpectedCount","183.651","39.553","42.709","52.087","0.000"
"C.ExpectedPercent","57.752","12.438","13.431","16.380","0.000"
"C.PercentDeviation","-11.245","-19.095","103.702","-30.885","0.000"
"C.StandardizedResidual","-1.524","-1.201","6.777","-2.229","0.000"
"C.AdjStandResidual","-2.461","-1.347","7.648","-2.559","0.000"
"D.Count","274.000","81.000","78.000","213.000","646.000"
"D.Percentage","37.673","16.353","11.087","34.886","0.000"
"D.SE","4.992","2.448","2.312","5.021","0.000"
"D.CI_L","27.360","11.295","6.311","24.515","0.000"
"D.CI_U","47.987","21.410","15.864","45.258","0.000"
"D.ExpectedCount","373.077","80.349","86.762","105.812","0.000"
"D.ExpectedPercent","57.752","12.438","13.431","16.380","0.000"
"D.PercentDeviation","-26.557","0.810","-10.099","101.300","0.000"
"D.StandardizedResidual","-5.129","0.073","-0.941","10.420","0.000"
"D.AdjStandResidual","-8.761","0.086","-1.122","12.651","0.000"
".CountTotal","1978.000","426.000","460.000","561.000","3425.000"
